Geneid,Control_1,Control_2,Control_3,Control_4,Control_5,Butyrate_1,Butyrate_2,Butyrate_3,Butyrate_4,Butyrate_5
ENSMUSG00000102628,0,0,1,1,1,0,5,4,2,5
ENSMUSG00000100595,7,1,3,40,11,3,30,111,82,87
ENSMUSG00000097426,0,0,0,0,0,1,1,0,0,1
ENSMUSG00000104478,0,0,0,0,2,1,2,1,2,0
ENSMUSG00000104385,0,0,0,0,1,0,0,1,1,0
ENSMUSG00000086053,0,0,0,1,3,0,1,0,0,0
ENSMUSG00000101231,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000102135,2,0,0,2,0,0,0,3,1,1
ENSMUSG00000103282,0,0,0,0,0,0,1,0,1,0
ENSMUSG00000101097,0,0,0,0,0,2,1,0,0,4
ENSMUSG00000100764,0,0,0,1,0,0,1,1,1,0
ENSMUSG00000102095,0,0,0,0,0,0,2,3,3,1
ENSMUSG00000102534,0,0,0,0,0,0,1,2,0,0
ENSMUSG00000100831,0,0,0,0,0,0,1,3,0,0
ENSMUSG00000100884,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000100635,0,0,0,0,0,0,0,2,2,2
ENSMUSG00000102213,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100480,0,0,1,0,1,0,0,1,0,0
ENSMUSG00000089037,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103629,0,0,0,0,0,0,2,0,0,1
ENSMUSG00002076531,0,0,1,0,0,0,0,2,1,0
ENSMUSG00000100025,0,0,0,2,1,2,0,5,3,4
ENSMUSG00000051285,2,0,4,17,0,3,14,12,13,11
ENSMUSG00000098201,2,0,0,4,0,0,12,5,2,10
ENSMUSG00000103509,0,0,1,0,1,1,7,4,6,5
ENSMUSG00000048538,0,0,0,0,1,0,1,0,0,2
ENSMUSG00000103709,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000077244,0,0,0,0,0,0,0,2,0,2
ENSMUSG00000102768,0,0,0,0,0,1,2,2,0,0
ENSMUSG00000097797,0,2,0,2,2,3,3,9,9,3
ENSMUSG00000103498,0,0,0,0,0,0,0,1,2,2
ENSMUSG00000103067,0,0,1,0,1,0,3,2,3,0
